date,year,year_month,ktemp,altitude_bin
2002-01-25,2002,2002-01,153.79228,90
2002-01-26,2002,2002-01,152.96506,102
2002-01-28,2002,2002-01,171.0125,79
2002-01-29,2002,2002-01,151.00961,99
2002-01-30,2002,2002-01,191.00505,82
2002-02-01,2002,2002-02,150.7286,98
2002-02-02,2002,2002-02,163.73325,98
2002-02-04,2002,2002-02,154.7038,93
2002-02-05,2002,2002-02,145.33658,102
2002-02-07,2002,2002-02,152.58798,100
2002-02-08,2002,2002-02,165.87038,86
2002-02-10,2002,2002-02,150.06133,101
2002-02-11,2002,2002-02,143.43916,99
2002-02-13,2002,2002-02,178.11433,102
2002-02-14,2002,2002-02,146.83316,92
2002-02-16,2002,2002-02,172.55095,84
2002-02-17,2002,2002-02,163.76277,90
2002-02-18,2002,2002-02,191.44182,84
2002-02-20,2002,2002-02,157.90446,102
2002-02-21,2002,2002-02,154.90927,104
2002-02-23,2002,2002-02,160.44672,104
2002-02-24,2002,2002-02,161.51053,95
2002-02-26,2002,2002-02,168.08914,100
2002-02-27,2002,2002-02,159.47443,91
2002-03-03,2002,2002-03,169.18306,104
2002-03-04,2002,2002-03,171.07397,103
2002-03-05,2002,2002-03,151.28615,100
2002-03-07,2002,2002-03,144.89737,103
2002-03-08,2002,2002-03,151.66452,99
2002-03-09,2002,2002-03,150.049,92
2002-03-10,2002,2002-03,158.06494,97
2002-03-11,2002,2002-03,156.42453,106
2002-03-12,2002,2002-03,154.40529,104
2002-03-13,2002,2002-03,174.11002,81
2002-03-14,2002,2002-03,169.4372,106
2002-03-15,2002,2002-03,174.18333,94
2002-03-16,2002,2002-03,167.12119,84
2002-03-17,2002,2002-03,168.09712,94
2002-03-18,2002,2002-03,157.91154,95
2002-03-20,2002,2002-03,186.94035,92
2002-03-21,2002,2002-03,164.64879,84
2002-03-23,2002,2002-03,145.2302,95
2002-03-24,2002,2002-03,165.8611,88
2002-03-26,2002,2002-03,134.36884,96
2002-03-27,2002,2002-03,166.57799,90
2002-03-28,2002,2002-03,216.99382,68
2002-03-30,2002,2002-03,168.12051,81
2002-03-31,2002,2002-03,163.82256,90
2002-04-01,2002,2002-04,136.2552,96
2002-04-02,2002,2002-04,146.23984,96
2002-04-03,2002,2002-04,159.15349,101
2002-04-04,2002,2002-04,191.11429,81
2002-04-05,2002,2002-04,130.25923,96
2002-04-06,2002,2002-04,166.07733,102
2002-04-08,2002,2002-04,151.6152,97
2002-04-09,2002,2002-04,163.6055,105
2002-04-11,2002,2002-04,137.64194,97
2002-04-12,2002,2002-04,158.65198,90
2002-04-13,2002,2002-04,199.44884,77
2002-04-14,2002,2002-04,143.55011,98
2002-04-15,2002,2002-04,165.3028,100
2002-04-16,2002,2002-04,135.39352,97
2002-04-17,2002,2002-04,144.05994,103
2002-04-18,2002,2002-04,120.85968,100
2002-04-19,2002,2002-04,162.24382,88
2002-04-20,2002,2002-04,221.11028,66
2002-04-21,2002,2002-04,151.27234,82
2002-04-22,2002,2002-04,148.7532,99
2002-04-24,2002,2002-04,125.14668,100
2002-04-25,2002,2002-04,144.58504,100
2002-04-27,2002,2002-04,158.5114,99
2002-04-28,2002,2002-04,149.16513,103
2002-04-29,2002,2002-04,163.37682,92
2002-04-30,2002,2002-04,158.95157,104
2002-05-01,2002,2002-05,159.07858,102
2002-05-02,2002,2002-05,143.13191,108
2002-05-03,2002,2002-05,144.73633,101
