date,year,year_month,ktemp,altitude_bin
2002-01-29,2002,2002-01,151.00961,99
2002-02-11,2002,2002-02,143.43916,99
2002-03-26,2002,2002-03,134.36884,96
2002-04-18,2002,2002-04,120.85968,100
2002-05-19,2002,2002-05,122.660965,94
2002-06-15,2002,2002-06,125.90019,96
2002-07-27,2002,2002-07,141.08263,98
2002-08-24,2002,2002-08,128.90027,97
2002-09-23,2002,2002-09,138.44531,100
2002-10-28,2002,2002-10,121.43556,100
2002-11-19,2002,2002-11,137.64653,100
2002-12-12,2002,2002-12,137.26797,99
2003-01-04,2003,2003-01,125.71458,95
2003-02-20,2003,2003-02,136.23584,98
2003-03-24,2003,2003-03,135.5367,96
2003-04-23,2003,2003-04,126.18644,100
2003-05-28,2003,2003-05,133.87392,103
2003-06-26,2003,2003-06,112.19678,85
2003-07-12,2003,2003-07,129.56808,97
2003-08-11,2003,2003-08,127.9116,100
2003-09-15,2003,2003-09,133.91777,102
2003-10-17,2003,2003-10,124.45732,98
2003-11-05,2003,2003-11,137.04648,93
2003-12-14,2003,2003-12,130.64946,97
2004-01-26,2004,2004-01,117.0192,98
2004-02-12,2004,2004-02,125.20778,87
2004-03-06,2004,2004-03,123.677124,102
2004-04-15,2004,2004-04,116.27682,99
2004-05-14,2004,2004-05,122.283615,97
2004-06-19,2004,2004-06,130.50595,100
2004-07-01,2004,2004-07,120.94265,101
2004-08-16,2004,2004-08,133.41524,100
2004-09-22,2004,2004-09,123.49579,100
2004-10-05,2004,2004-10,126.10243,99
2004-11-01,2004,2004-11,124.03139,101
2004-12-21,2004,2004-12,130.64595,98
2005-01-24,2005,2005-01,137.01724,97
2005-02-10,2005,2005-02,126.073135,99
2005-03-12,2005,2005-03,138.13417,98
2005-04-12,2005,2005-04,113.27275,100
2005-05-08,2005,2005-05,121.19322,78
2005-06-16,2005,2005-06,121.18862,100
2005-07-13,2005,2005-07,127.37291,96
2005-08-06,2005,2005-08,135.18394,100
2005-09-11,2005,2005-09,133.8305,101
2005-10-04,2005,2005-10,125.89154,94
2005-11-13,2005,2005-11,128.36703,99
2005-12-29,2005,2005-12,135.13242,100
2006-01-22,2006,2006-01,126.75679,80
2006-02-03,2006,2006-02,124.5684,101
2006-03-31,2006,2006-03,121.3571,93
2006-04-23,2006,2006-04,120.79283,97
2006-05-27,2006,2006-05,129.25507,100
2006-06-18,2006,2006-06,127.75993,101
2006-07-21,2006,2006-07,133.98308,97
2006-08-14,2006,2006-08,116.546974,99
2006-09-05,2006,2006-09,136.47614,100
2006-10-01,2006,2006-10,126.061134,100
2006-11-02,2006,2006-11,123.940506,97
2006-12-09,2006,2006-12,128.3124,98
2007-01-10,2007,2007-01,129.58783,99
2007-02-10,2007,2007-02,135.12398,104
2007-03-28,2007,2007-03,131.99289,94
2007-04-08,2007,2007-04,128.92014,100
2007-05-30,2007,2007-05,124.268654,99
2007-06-25,2007,2007-06,122.45007,99
