date,year,year_month,ktemp,altitude_bin
,-1,,154.25536,85
2002-04-18,2002,2002-04,120.85968,100
2003-06-26,2003,2003-06,112.19678,85
2004-04-15,2004,2004-04,116.27682,99
2005-04-12,2005,2005-04,113.27275,100
2006-08-14,2006,2006-08,116.546974,99
2007-06-25,2007,2007-06,122.45007,99
2008-06-25,2008,2008-06,110.72056,95
2009-06-10,2009,2009-06,120.13279,100
2010-01-22,2010,2010-01,115.75301,97
2011-01-18,2011,2011-01,111.51933,98
2012-12-28,2012,2012-12,108.02322,81
2013-06-17,2013,2013-06,114.114685,80
2014-05-14,2014,2014-05,110.862144,95
2015-03-25,2015,2015-03,120.95636,96
2016-03-29,2016,2016-03,108.66539,96
2017-10-04,2017,2017-10,112.77429,98
2018-07-02,2018,2018-07,111.91785,95
2019-03-25,2019,2019-03,112.574936,95
2020-05-06,2020,2020-05,117.97838,99
2021-07-25,2021,2021-07,120.73672,101
2022-07-31,2022,2022-07,109.522545,99
2023-11-27,2023,2023-11,111.55977,100
2024-07-09,2024,2024-07,115.04067,102
